Design,Technology,Process Node (nm),Area (μm²),Search Energy (fJ/bit/search),Year
16T NOR [1],SRAM,130,6.73,-,2003
16T NAND [28],SRAM,100,22.40,0.70,2005
10T [29],SRAM,180,11.15,-,2001
16T NOR [30],SRAM,65,1.69,1.98,2013
6T [31],SRAM,28,0.15,0.60,2015
10T [47],SRAM,65,3.30,0.77,2013
9T [52],SRAM,130,20.21,1.87,2010
13T [41],SRAM,180,30.00,2.82,2011
12T NAND [32],SRAM,130,12.93,-,2008
8T [46],SRAM,28,0.74,-,2022
4T [33],SRAM,180,17.54,-,2003
16T NOR [34],SRAM,130,7.10,-,2004
12T NAND [35],SRAM,130,15.22,0.44,2009
12T [36],SRAM,180,19.47,1.42,2008
10T [45],SRAM,28,2.66,1.02,2021
16T NAND [42],SRAM,65,7.05,0.17,2011
6T2C [43],DRAM,130,3.59,-,2005
8T4C [53],DRAM,130,4.79,-,2003
2T1C [44],DRAM,28,0.10,-,2021
3T1R [54],ReRAM,90,1.57,0.51,2015
2T2R [55],ReRAM,90,0.41,-,2014
2.5T1R [56],ReRAM,65,0.59,0.28,2016
4T2R [57],ReRAM,180,9.70,-,2014
6T2M [37],ReRAM,16,0.52,-,2020
3T1R [58],ReRAM,90,0.87,0.51,2017
2T2M [48],ReRAM,65,6.11,0.87,2021
10T4MTJ [59],MTJ,45,2.78,40.50,2017
4T2MTJ [49],MTJ,90,3.14,-,2012
1T1MTJ [60],MTJ,140,1.25,-,2011
9T2MTJ [61],MTJ,90,10.35,0.73,2012
11T3MTJ [62],MTJ,180,36.00,7.10,2010
6T2MTJ [63],MTJ,90,10.35,1.04,2011
3T2MTJ [64],MTJ,45,0.13,-,2016
2FeFET [50],FeFET,45,0.15,-,2019
4T2FeFET [65],FeFET,45,0.65,-,2017
2FeFET [66],FeFET,45,0.05,0.18,2020
2FeFET [67],FeFET,45,0.15,0.40,2019
